iter	RMSE
0	1067.579222
1	1021.661224
2	977.2888484
3	935.76886
4	896.4754032
5	858.6563197
6	823.2621631
7	788.6815496
8	756.0221792
9	725.8693357
10	696.5367276
11	668.7946432
12	642.8915547
13	618.1765634
14	594.8462673
15	572.8481204
16	551.6354387
17	531.223702
18	512.2998737
19	494.4280882
20	477.3601955
21	461.4367771
22	446.1490926
23	431.724115
24	418.030673
25	405.3006164
26	392.9784046
27	381.7243792
28	370.3551227
29	359.7656198
30	350.2226952
31	340.7007677
32	331.5968888
33	322.9836031
34	315.1939388
35	307.5476832
36	300.2838951
37	293.5299687
38	287.1017356
39	281.0487112
40	275.2580711
41	270.0017587
42	265.3549736
43	260.6756822
44	256.1738415
45	251.7445764
46	247.8152981
47	243.8441125
48	240.2746694
49	236.903367
50	233.5847691
51	230.462676
52	227.5212792
53	224.6256532
54	221.9728202
55	219.4105799
56	217.1106376
57	214.8704405
58	212.9010305
59	210.9191175
60	208.9950123
61	207.2139286
62	205.3373359
63	203.7796113
64	202.3268315
65	201.0332399
66	199.7605067
67	198.2250642
68	196.6665533
69	195.3177073
70	194.1002024
71	192.8363858
72	191.9088394
73	190.8237733
74	189.9605011
75	188.9330378
76	187.9169123
77	187.1251812
78	186.1990753
79	185.4781393
80	184.7158003
81	183.982574
82	183.3717794
83	182.672332
84	181.984298
85	181.2367724
86	180.7248498
87	180.0370853
88	179.3961366
89	178.7976625
90	178.2091052
91	177.8274945
92	177.0423402
93	176.4067492
94	175.8177626
95	175.1804617
96	174.5387848
97	173.920853
98	173.2485128
99	172.8043336
100	172.4553641
101	171.9071839
102	171.4608877
103	170.9370513
104	170.6108528
105	170.0142415
106	169.5506887
107	169.0834774
108	168.490104
109	168.1544506
110	167.493958
111	167.0991465
112	166.6183256
113	165.9146005
114	165.3179063
115	164.9017159
116	164.3983339
117	163.8846193
118	163.51334
119	163.0987957
120	162.5439449
121	162.0275222
122	161.747197
123	161.1500003
124	160.6862538
125	160.194891
126	159.6261221
127	159.1743017
128	158.7527204
129	158.4050434
130	158.0013754
131	157.488612
132	157.1108716
133	156.6727846
134	156.1264521
135	155.6523046
136	155.2352962
137	154.8357945
138	154.4075411
139	153.9485862
140	153.6079533
141	153.2118914
142	152.7265437
143	152.4153772
144	152.0065988
145	151.6299283
146	151.2964351
147	150.8845487
148	150.5334011
149	150.086008
150	149.7500181
151	149.2653811
152	148.8639279
153	148.4484345
154	148.169454
155	148.0019635
156	147.5469217
157	147.2776631
158	147.0332439
159	146.769673
160	146.3944733
161	146.0750295
162	145.9202926
163	145.5761355
164	145.3141377
165	145.0687631
166	144.8091027
167	144.4984135
168	144.1924856
169	143.9832144
170	143.8495698
171	143.5163748
172	143.2289901
173	142.7257809
174	142.5265649
175	142.2149605
176	142.0635135
177	141.7592466
178	141.3639823
179	141.1008768
180	140.8422693
181	140.4965285
182	140.1752433
183	139.8312737
184	139.4821252
185	139.2894199
186	139.0695063
187	138.8091064
188	138.3643506
189	138.1048303
190	137.8046931
191	137.6043667
192	137.3391033
193	137.0315378
194	136.8720631
195	136.6352893
196	136.3717608
197	136.0513056
198	135.7474956
199	135.4732895
200	135.0707358
201	134.8571454
202	134.6093122
203	134.3929599
204	134.1109457
205	133.8913414
206	133.62199
207	133.3617576
208	133.0854958
209	132.8464851
210	132.6495564
211	132.3985256
212	132.1963516
213	131.8711703
214	131.6920275
215	131.5191071
216	131.2633832
217	131.0602299
218	130.8791936
219	130.7281956
220	130.4545668
221	130.2082965
222	130.0191348
223	129.898435
224	129.6686711
225	129.4937994
226	129.1697702
227	128.9295805
228	128.8008498
229	128.5670241
230	128.3344428
231	128.1520881
232	127.8941516
233	127.7328995
234	127.4899158
235	127.1204361
236	126.865147
237	126.69918
238	126.3512856
239	126.2299928
240	126.0259042
241	125.8238282
242	125.673368
243	125.3088343
244	125.1264513
245	124.9765381
246	124.7445587
247	124.5642584
248	124.4421696
249	124.2402189
250	124.0770062
251	123.9247851
252	123.7126383
253	123.4954229
254	123.2418184
255	123.1117129
256	122.842462
257	122.5112778
258	122.4252969
259	122.1192984
260	121.9454175
261	121.8005349
262	121.6110347
263	121.4127184
264	121.2759596
265	121.0844704
266	120.9545944
267	120.7763309
268	120.6356311
269	120.4226098
270	120.2683434
271	120.1094514
272	119.906392
273	119.7346172
274	119.6056383
275	119.4359074
276	119.2501272
277	119.0597863
278	118.8809604
279	118.5810634
280	118.4482755
281	118.3500016
282	118.2237105
283	118.0647969
284	117.9228717
285	117.8149302
286	117.5504986
287	117.4259143
288	117.2679693
289	117.0961238
290	116.9642162
291	116.8268049
292	116.7160325
293	116.5266108
294	116.376112
295	116.1161449
296	115.9711438
297	115.8558554
298	115.6952205
299	115.5079011
300	115.3717786
301	115.2650242
302	115.1337817
303	114.9755134
304	114.8179164
305	114.6686956
306	114.5183265
307	114.4045782
308	114.3160874
309	114.2176051
310	114.0591632
311	113.9717684
312	113.8328063
313	113.6822331
314	113.5556102
315	113.4319382
316	113.2496898
317	113.1222122
318	113.0032628
319	112.8984084
320	112.776473
321	112.6268818
322	112.5111153
323	112.4099425
324	112.1255336
325	111.9865476
326	111.8602171
327	111.6541258
328	111.4856065
329	111.363524
330	111.2625417
331	111.1562679
332	111.0370757
333	110.8833909
334	110.7754383
335	110.6637109
336	110.561816
337	110.423734
338	110.2234908
339	110.1105679
340	110.0264451
341	109.9144511
342	109.847117
343	109.6400965
344	109.5215863
345	109.3849299
346	109.2977484
347	109.1970624
348	109.0775827
349	108.986443
350	108.8490825
351	108.7603231
352	108.6971029
353	108.5762128
354	108.4317404
355	108.3458832
356	108.1727579
357	108.0791725
358	107.9906603
359	107.8905199
360	107.7950699
361	107.5374656
362	107.4232538
363	107.3166313
364	107.1231292
365	106.8820094
366	106.8015798
367	106.6705687
368	106.5588141
369	106.4448633
370	106.356394
371	106.2743091
372	106.0439003
373	105.9476727
374	105.8854904
375	105.7917353
376	105.5901537
377	105.3530209
378	105.2828685
379	105.2054181
380	105.0062084
381	104.9237043
382	104.7387137
383	104.6454409
384	104.4966235
385	104.4094272
