family,abs_mae_resid
BEVERAGES,104.20680515349858
GROCERY I,100.17585190319889
CLEANING,74.9707430380362
PRODUCE,70.74550419239507
DAIRY,36.71969381463591
BREAD/BAKERY,28.821435729705968
POULTRY,26.358168480955097
MEATS,25.80824066170231
PERSONAL CARE,25.684571717781996
HOME CARE,25.182667777651833
DELI,23.53992407534725
EGGS,21.125937065750204
FROZEN FOODS,17.604932651209715
"LIQUOR,WINE,BEER",16.48091287343275
PREPARED FOODS,11.841864099408287
SCHOOL AND OFFICE SUPPLIES,8.897178616198568
GROCERY II,8.195658124056916
HOME AND KITCHEN II,7.977301320070943
HOME AND KITCHEN I,7.8015716880086865
CELEBRATION,5.385224994725336
SEAFOOD,4.473260264009549
LAWN AND GARDEN,4.322121236121805
LADIESWEAR,3.8188103040036308
LINGERIE,3.5754335267449577
PLAYERS AND ELECTRONICS,3.4992502541749406
AUTOMOTIVE,3.033259587372264
PET SUPPLIES,2.849569733634039
MAGAZINES,2.5198790457872082
BEAUTY,2.3392404800098605
HARDWARE,1.2410748921440689
BABY CARE,0.6456697804510849
HOME APPLIANCES,0.5017745231882491
BOOKS,0.43049190283836747
